,All patients (n = 904),Patients with confirmed COVID-19 (n = 341),Patients with clinically diagnosed COVID-19 (n = 563)
"Age, years",56.0 (39.0–67.0),58.0 (42.0–62.0),53.0 (37.0–66.0)†
 0–19,3 (0.33),1 (0.29),2 (0.36)
 20–39,237 (26.22),80 (23.46),157 (27.89)
 40–69,489 (54.09),182 (53.37),307 (54.53)
 70–99,175 (19.36),78 (22.87),97 (17.23)†
Sex,,,
 Male,421 (46.57),183 (53.67),238 (42.27)†
 Female,483 (53.43),158 (46.33),325 (57.73)†
Common initial symptoms,,,
 Fever (temperature ≥37.3°C),576 (63.72),216 (63.34),360 (63.94)
 Cough,443 (49.00),170 (49.85),273 (48.49)
 Fatigue,212 (23.45),77 (22.58),135 (23.98)
 Dyspnea,122 (13.50),48 (14.08),74 (13.14)
 Myalgia,117 (12.95),43 (12.61),74 (13.14)
 Sputum,94 (10.40),32 (9.38),62 (11.01)
 Diarrhea,47 (5.20),17 (4.99),30 (5.33)
 Nausea or vomiting,20 (2.21),5 (1.47),15 (2.66)
Comorbidities,,,
 Diabetes,136 (15.04),49 (14.37),87 (15.45)
 Hypertension,273 (30.20),125 (36.66),148 (26.29)†
 Cardiovascular disease,91 (10.07),50 (14.66),41 (7.28)†
 Nervous system disease,52 (5.75),27 (7.92),25 (4.44)†
 Chronic kidney disease,42 (4.65),24 (7.04),18 (3.20)†
 Chronic lung disease,22 (2.43),15 (4.40),7 (1.24)†
 Tumor,19 (2.10),11 (3.23),8 (1.42)
Initial disease severity,,,
 Moderate,813 (89.93),297 (87.10),516 (91.65)†
 Severe,82 (9.07),39 (11.44),43 (7.64)
 Critical,9 (1.00),5 (1.47),4 (0.71)
Clinical outcomes,,,
 No progression,431 (47.68),135 (39.59),296 (52.58)†
 Severe progression,291 (32.19),107 (31.38),184 (32.68)
 Critical progression,90 (9.96),45 (13.20),45 (7.99)†
 Death,92 (10.18),54 (15.84),38 (6.75)†
